county,month_year,total_sales
Cherokee,2013-01,410
Cherokee,2013-02,419
Cherokee,2013-03,549
Cherokee,2013-04,582
Cherokee,2013-05,586
Cherokee,2013-06,614
Cherokee,2013-07,681
Cherokee,2013-08,662
Cherokee,2013-09,560
Cherokee,2013-10,554
Cherokee,2013-11,528
Cherokee,2013-12,550
Cherokee,2014-01,454
Cherokee,2014-02,441
Cherokee,2014-03,554
Cherokee,2014-04,588
Cherokee,2014-05,657
Cherokee,2014-06,712
Cherokee,2014-07,745
Cherokee,2014-08,719
Cherokee,2014-09,681
Cherokee,2014-10,611
Cherokee,2014-11,497
Cherokee,2014-12,563
Cherokee,2015-01,425
Cherokee,2015-02,415
Cherokee,2015-03,573
Cherokee,2015-04,622
Cherokee,2015-05,664
Cherokee,2015-06,804
Cherokee,2015-07,818
Cherokee,2015-08,762
Cherokee,2015-09,675
Cherokee,2015-10,597
Cherokee,2015-11,508
Cherokee,2015-12,604
Cherokee,2016-01,490
Cherokee,2016-02,500
Cherokee,2016-03,653
Cherokee,2016-04,700
Cherokee,2016-05,831
Cherokee,2016-06,858
Cherokee,2016-07,766
Cherokee,2016-08,779
Cherokee,2016-09,715
Cherokee,2016-10,667
Cherokee,2016-11,594
Cherokee,2016-12,671
Cherokee,2017-01,403
Cherokee,2017-02,462
Cherokee,2017-03,611
Cherokee,2017-04,580
Cherokee,2017-05,718
Cherokee,2017-06,898
Cherokee,2017-07,733
Cherokee,2017-08,813
Cherokee,2017-09,639
Cherokee,2017-10,665
Cherokee,2017-11,618
Cherokee,2017-12,639
Cherokee,2018-01,494
Cherokee,2018-02,546
Cherokee,2018-03,726
Cherokee,2018-04,692
Cherokee,2018-05,861
Cherokee,2018-06,927
Cherokee,2018-07,849
Cherokee,2018-08,864
Cherokee,2018-09,673
Cherokee,2018-10,716
Cherokee,2018-11,662
Cherokee,2018-12,618
Cherokee,2019-01,449
Cherokee,2019-02,541
Cherokee,2019-03,654
Cherokee,2019-04,790
Cherokee,2019-05,761
Cherokee,2019-06,819
Cherokee,2019-07,881
Cherokee,2019-08,854
Cherokee,2019-09,760
Cherokee,2019-10,778
Cherokee,2019-11,699
Cherokee,2019-12,792
Cherokee,2020-01,530
Cherokee,2020-02,576
Cherokee,2020-03,788
Cherokee,2020-04,627
Cherokee,2020-05,620
Cherokee,2020-06,854
Cherokee,2020-07,1004
Cherokee,2020-08,956
Cherokee,2020-09,901
Cherokee,2020-10,902
Cherokee,2020-11,793
Cherokee,2020-12,958
Cherokee,2021-01,548
Cherokee,2021-02,624
Cherokee,2021-03,892
Cherokee,2021-04,866
Cherokee,2021-05,872
Cherokee,2021-06,981
Cherokee,2021-07,975
Cherokee,2021-08,971
Cherokee,2021-09,838
Cherokee,2021-10,780
Cherokee,2021-11,818
Cherokee,2021-12,844
Cherokee,2022-01,634
Cherokee,2022-02,672
Cherokee,2022-03,870
Cherokee,2022-04,839
Cherokee,2022-05,910
Cherokee,2022-06,961
Cherokee,2022-07,774
Cherokee,2022-08,843
Cherokee,2022-09,756
Cherokee,2022-10,702
Cherokee,2022-11,651
Cherokee,2022-12,644
Cherokee,2023-01,423
Cherokee,2023-02,442
Cherokee,2023-03,669
Cherokee,2023-04,588
Cherokee,2023-05,644
Cherokee,2023-06,541
Cherokee,2023-07,565
Cherokee,2023-08,723
Cherokee,2023-09,670
Cherokee,2023-10,569
Cherokee,2023-11,501
Cherokee,2023-12,523
Cherokee,2024-01,457
Cherokee,2024-02,456
Cherokee,2024-03,569
Cherokee,2024-04,558
Cherokee,2024-05,673
Cherokee,2024-06,582
Cherokee,2024-07,627
Cherokee,2024-08,609
Cherokee,2024-09,548
Cherokee,2024-10,513
Cherokee,2024-11,479
Cherokee,2024-12,581
Cherokee,2025-01,329
Cherokee,2025-02,365
Cherokee,2025-03,513
Cherokee,2025-04,531
Cherokee,2025-05,553
Cherokee,2025-06,507
Cherokee,2025-07,514
Cherokee,2025-08,513
Cherokee,2025-09,527
Cherokee,2025-10,517
Cherokee,2025-11,304
Cherokee,2025-12,550
Clayton,2013-01,491
Clayton,2013-02,403
Clayton,2013-03,420
Clayton,2013-04,440
Clayton,2013-05,395
Clayton,2013-06,425
Clayton,2013-07,434
Clayton,2013-08,425
Clayton,2013-09,379
Clayton,2013-10,427
Clayton,2013-11,354
Clayton,2013-12,397
Clayton,2014-01,318
Clayton,2014-02,364
Clayton,2014-03,437
Clayton,2014-04,445
Clayton,2014-05,390
Clayton,2014-06,417
Clayton,2014-07,452
Clayton,2014-08,450
Clayton,2014-09,366
Clayton,2014-10,432
Clayton,2014-11,312
Clayton,2014-12,391
Clayton,2015-01,290
Clayton,2015-02,308
Clayton,2015-03,385
Clayton,2015-04,410
Clayton,2015-05,378
Clayton,2015-06,429
Clayton,2015-07,479
Clayton,2015-08,685
Clayton,2015-09,421
Clayton,2015-10,368
Clayton,2015-11,355
Clayton,2015-12,352
Clayton,2016-01,321
Clayton,2016-02,375
Clayton,2016-03,480
Clayton,2016-04,463
Clayton,2016-05,432
Clayton,2016-06,480
