Metro,Year,Population
Philadelphia,1980,5243721
Miami,1980,3255108
D.C.,1980,3247745
Houston,1980,3183039
Dallas-Fort Worth,1980,3035015
Atlanta,1980,2350072
Phoenix,1980,1650146
Charlotte,1980,1058475
Philadelphia,1981,5250308
Miami,1981,3386320
Houston,1981,3321100
D.C.,1981,3300090
Dallas-Fort Worth,1981,3118849
Atlanta,1981,2402258
Phoenix,1981,1697012
Charlotte,1981,1074784
Philadelphia,1982,5257021
D.C.,1982,3517743
Houston,1982,3517222
Miami,1982,3449748
Dallas-Fort Worth,1982,3231248
Atlanta,1982,2452956
Phoenix,1982,1747582
Charlotte,1982,1091550
Philadelphia,1983,5261673
Houston,1983,3619036
D.C.,1983,3569223
Miami,1983,3506543
Dallas-Fort Worth,1983,3340544
Atlanta,1983,2515974
Phoenix,1983,1800469
Charlotte,1983,1102078
Philadelphia,1984,5279132
D.C.,1984,3644647
Houston,1984,3636831
Miami,1984,3560287
Dallas-Fort Worth,1984,3456121
Atlanta,1984,2593499
Phoenix,1984,1875046
Charlotte,1984,1121722
Philadelphia,1985,5294459
D.C.,1985,3723514
Houston,1985,3643242
Miami,1985,3632839
Dallas-Fort Worth,1985,3596192
Atlanta,1985,2689200
Phoenix,1985,1969295
Charlotte,1985,1144604
Philadelphia,1986,5335408
D.C.,1986,3815288
Dallas-Fort Worth,1986,3731894
Miami,1986,3709290
Houston,1986,3683158
Atlanta,1986,2785028
Phoenix,1986,2051499
Charlotte,1986,1162145
Philadelphia,1987,5383458
D.C.,1987,3914007
Dallas-Fort Worth,1987,3814660
Miami,1987,3797122
Houston,1987,3641308
Atlanta,1987,2881844
Phoenix,1987,2141195
Charlotte,1987,1186179
Philadelphia,1988,5421401
D.C.,1988,4009922
Miami,1988,3891771
Dallas-Fort Worth,1988,3858992
Houston,1988,3631002
Atlanta,1988,2966003
Phoenix,1988,2201759
Charlotte,1988,1210884
Philadelphia,1989,5434519
D.C.,1989,4083884
Miami,1989,3984028
Dallas-Fort Worth,1989,3917863
Houston,1989,3686237
Atlanta,1989,3034180
Phoenix,1989,2257125
Charlotte,1989,1234282
Philadelphia,1990,5445186
D.C.,1990,4133388
Miami,1990,4078578
Dallas-Fort Worth,1990,4009530
Houston,1990,3792007
Atlanta,1990,3105880
Phoenix,1990,2289539
Charlotte,1990,1262947
Philadelphia,1991,5479918
D.C.,1991,4192869
Miami,1991,4176731
Dallas-Fort Worth,1991,4109324
Houston,1991,3901522
Atlanta,1991,3197302
Phoenix,1991,2360533
Charlotte,1991,1293062
Philadelphia,1992,5503640
Miami,1992,4262995
D.C.,1992,4255238
Dallas-Fort Worth,1992,4194301
Houston,1992,4006866
Atlanta,1992,3293975
Phoenix,1992,2441374
Charlotte,1992,1317343
Philadelphia,1993,5533081
Miami,1993,4340175
D.C.,1993,4314845
Dallas-Fort Worth,1993,4284857
Houston,1993,4093318
Atlanta,1993,3404646
Phoenix,1993,2535838
Charlotte,1993,1347263
Philadelphia,1994,5562336
Miami,1994,4445162
Dallas-Fort Worth,1994,4388097
D.C.,1994,4372470
