Metro,Year,Population
Atlanta,1980,2233324
Atlanta,1981,2305986
Atlanta,1982,2378649
Atlanta,1983,2451311
Atlanta,1984,2523974
Atlanta,1985,2596637
Atlanta,1986,2669299
Atlanta,1987,2741962
Atlanta,1988,2814624
Atlanta,1989,2887287
Atlanta,1990,2959950
Atlanta,1991,3075174
Atlanta,1992,3190399
Atlanta,1993,3305624
Atlanta,1994,3420849
Atlanta,1995,3536074
Atlanta,1996,3651298
Atlanta,1997,3766523
Atlanta,1998,3881748
Atlanta,1999,3996973
Atlanta,2000,4112198
Atlanta,2001,4229651
Atlanta,2002,4347104
Atlanta,2003,4464557
Atlanta,2004,4582010
Atlanta,2005,4699463
Atlanta,2006,4816916
Atlanta,2007,4934369
Atlanta,2008,5051822
Atlanta,2009,5169275
Atlanta,2010,5286728
Atlanta,2011,5367036
Atlanta,2012,5447345
Atlanta,2013,5527654
Atlanta,2014,5607962
Atlanta,2015,5688271
Atlanta,2016,5768580
Atlanta,2017,5848888
Atlanta,2018,5929197
Atlanta,2019,6009506
Atlanta,2020,6089815
Atlanta,2021,6162297
Atlanta,2022,6234779
Atlanta,2023,6305839
Atlanta,2024,6409047
Charlotte,1980,637218
Charlotte,1981,689705
Charlotte,1982,742193
Charlotte,1983,794680
Charlotte,1984,847168
Charlotte,1985,899655
Charlotte,1986,952143
Charlotte,1987,1004630
Charlotte,1988,1057118
Charlotte,1989,1109605
Charlotte,1990,1162093
Charlotte,1991,1195813
Charlotte,1992,1229533
Charlotte,1993,1263253
Charlotte,1994,1296973
Charlotte,1995,1330693
Charlotte,1996,1364413
Charlotte,1997,1398133
Charlotte,1998,1431853
Charlotte,1999,1465573
Charlotte,2000,1499293
Charlotte,2001,1573759
Charlotte,2002,1648226
Charlotte,2003,1722693
Charlotte,2004,1797159
Charlotte,2005,1871626
Charlotte,2006,1946093
Charlotte,2007,2020559
Charlotte,2008,2095026
Charlotte,2009,2169493
Charlotte,2010,2243960
Charlotte,2011,2285596
Charlotte,2012,2327233
Charlotte,2013,2368870
Charlotte,2014,2410507
Charlotte,2015,2452144
Charlotte,2016,2493781
Charlotte,2017,2535418
Charlotte,2018,2577055
Charlotte,2019,2618692
Charlotte,2020,2660329
Charlotte,2021,2701046
Charlotte,2022,2756069
Charlotte,2023,2805115
Charlotte,2024,2883370
Dallas,1980,2974805
Dallas,1981,3065866
Dallas,1982,3156927
Dallas,1983,3247988
Dallas,1984,3339049
Dallas,1985,3430110
Dallas,1986,3521171
Dallas,1987,3612232
Dallas,1988,3703293
Dallas,1989,3794354
Dallas,1990,3885415
Dallas,1991,4019053
Dallas,1992,4152692
Dallas,1993,4286330
Dallas,1994,4419969
Dallas,1995,4553608
Dallas,1996,4687246
Dallas,1997,4820885
Dallas,1998,4954523
Dallas,1999,5088162
Dallas,2000,5221801
Dallas,2001,5342242
Dallas,2002,5462683
Dallas,2003,5583124
Dallas,2004,5703566
Dallas,2005,5824007
Dallas,2006,5944448
Dallas,2007,6064890
Dallas,2008,6185331
Dallas,2009,6305772
Dallas,2010,6426214
Dallas,2011,6547331
Dallas,2012,6668448
Dallas,2013,6789565
Dallas,2014,6910683
Dallas,2015,7031800
Dallas,2016,7152917
Dallas,2017,7274035
Dallas,2018,7395152
Dallas,2019,7516269
Dallas,2020,7637387
Dallas,2021,7791603
Dallas,2022,7945820
Dallas,2023,8100037
Dallas,2024,8344032
Houston,1980,2905353
Houston,1981,2945011
Houston,1982,2984669
Houston,1983,3024328
Houston,1984,3063986
Houston,1985,3103645
Houston,1986,3143303
Houston,1987,3182961
Houston,1988,3222620
Houston,1989,3262278
Houston,1990,3301937
Houston,1991,3389507
Houston,1992,3477078
Houston,1993,3564649
Houston,1994,3652220
Houston,1995,3739791
Houston,1996,3827362
Houston,1997,3914933
Houston,1998,4002504
Houston,1999,4090075
Houston,2000,4177646
Houston,2001,4351923
Houston,2002,4526200
Houston,2003,4700477
Houston,2004,4874754
Houston,2005,5049031
Houston,2006,5223308
Houston,2007,5397585
Houston,2008,5571862
Houston,2009,5746139
Houston,2010,5920416
Houston,2011,6040598
Houston,2012,6160780
Houston,2013,6280963
Houston,2014,6401145
Houston,2015,6521328
Houston,2016,6641510
Houston,2017,6761692
Houston,2018,6881875
Houston,2019,7002057
Houston,2020,7122240
Houston,2021,7290725
Houston,2022,7459211
Houston,2023,7510252
Houston,2024,7796182
Miami,1980,3220844
Miami,1981,3304369
Miami,1982,3387895
Miami,1983,3471420
Miami,1984,3554946
Miami,1985,3638472
Miami,1986,3721997
Miami,1987,3805523
Miami,1988,3889048
Miami,1989,3972574
Miami,1990,4056100
Miami,1991,4151246
Miami,1992,4246392
Miami,1993,4341539
Miami,1994,4436685
Miami,1995,4531832
Miami,1996,4626978
Miami,1997,4722124
Miami,1998,4817271
Miami,1999,4912417
Miami,2000,5007564
Miami,2001,5063271
Miami,2002,5118978
Miami,2003,5174685
Miami,2004,5230392
Miami,2005,5286099
Miami,2006,5341806
Miami,2007,5397513
Miami,2008,5453220
Miami,2009,5508927
Miami,2010,5564635
Miami,2011,5622004
Miami,2012,5679374
Miami,2013,5736744
Miami,2014,5794114
Miami,2015,5851484
Miami,2016,5908853
Miami,2017,5966223
Miami,2018,6023593
Miami,2019,6080963
Miami,2020,6138333
Miami,2021,6153288
Miami,2022,6168243
Miami,2023,6183199
Miami,2024,6457988
Philadelphia,1980,5240039
Philadelphia,1981,5259581
Philadelphia,1982,5279124
Philadelphia,1983,5298667
Philadelphia,1984,5318210
Philadelphia,1985,5337753
Philadelphia,1986,5357296
Philadelphia,1987,5376839
Philadelphia,1988,5396382
Philadelphia,1989,5415925
Philadelphia,1990,5435468
Philadelphia,1991,5460635
Philadelphia,1992,5485803
Philadelphia,1993,5510971
Philadelphia,1994,5536139
Philadelphia,1995,5561307
Philadelphia,1996,5586475
Philadelphia,1997,5611643
Philadelphia,1998,5636811
Philadelphia,1999,5661979
Philadelphia,2000,5687147
Philadelphia,2001,5714966
Philadelphia,2002,5742786
Philadelphia,2003,5770605
Philadelphia,2004,5798425
Philadelphia,2005,5826245
Philadelphia,2006,5854064
Philadelphia,2007,5881884
Philadelphia,2008,5909703
Philadelphia,2009,5937523
Philadelphia,2010,5965343
Philadelphia,2011,5993313
Philadelphia,2012,6021284
Philadelphia,2013,6049255
Philadelphia,2014,6077226
Philadelphia,2015,6105197
Philadelphia,2016,6133167
Philadelphia,2017,6161138
Philadelphia,2018,6189109
Philadelphia,2019,6217080
Philadelphia,2020,6245051
Philadelphia,2021,6243107
Philadelphia,2022,6241164
Philadelphia,2023,6246160
Philadelphia,2024,6330422
Phoenix,1980,1600093
Phoenix,1981,1663931
Phoenix,1982,1727770
Phoenix,1983,1791609
Phoenix,1984,1855447
Phoenix,1985,1919286
Phoenix,1986,1983125
Phoenix,1987,2046963
Phoenix,1988,2110802
Phoenix,1989,2174641
Phoenix,1990,2238480
Phoenix,1991,2339819
Phoenix,1992,2441159
Phoenix,1993,2542498
Phoenix,1994,2643838
Phoenix,1995,2745178
Phoenix,1996,2846517
Phoenix,1997,2947857
Phoenix,1998,3049196
Phoenix,1999,3150536
Phoenix,2000,3251876
Phoenix,2001,3345977
Phoenix,2002,3440078
Phoenix,2003,3534179
Phoenix,2004,3628280
Phoenix,2005,3722381
Phoenix,2006,3816482
Phoenix,2007,3910583
Phoenix,2008,4004684
Phoenix,2009,4098785
Phoenix,2010,4192887
Phoenix,2011,4258181
Phoenix,2012,4323476
Phoenix,2013,4388770
Phoenix,2014,4454065
Phoenix,2015,4519359
Phoenix,2016,4584654
Phoenix,2017,4649948
Phoenix,2018,4715243
Phoenix,2019,4780537
Phoenix,2020,4845832
Phoenix,2021,4930755
Phoenix,2022,5015678
Phoenix,2023,5070110
Phoenix,2024,5186958
Washington DC,1980,3060922
Washington DC,1981,3147187
Washington DC,1982,3233452
Washington DC,1983,3319717
Washington DC,1984,3405982
Washington DC,1985,3492248
Washington DC,1986,3578513
Washington DC,1987,3664778
Washington DC,1988,3751043
Washington DC,1989,3837308
Washington DC,1990,3923574
Washington DC,1991,4023531
Washington DC,1992,4123489
Washington DC,1993,4223447
Washington DC,1994,4323405
Washington DC,1995,4423363
Washington DC,1996,4523321
Washington DC,1997,4623279
Washington DC,1998,4723237
Washington DC,1999,4823195
Washington DC,2000,4923153
Washington DC,2001,4994460
Washington DC,2002,5065768
Washington DC,2003,5137076
Washington DC,2004,5208384
Washington DC,2005,5279692
Washington DC,2006,5351000
Washington DC,2007,5422308
Washington DC,2008,5493616
Washington DC,2009,5564924
Washington DC,2010,5636232
Washington DC,2011,5711125
Washington DC,2012,5786018
Washington DC,2013,5860911
Washington DC,2014,5935804
Washington DC,2015,6010697
Washington DC,2016,6085590
Washington DC,2017,6160483
Washington DC,2018,6235376
Washington DC,2019,6310269
Washington DC,2020,6385162
Washington DC,2021,6379459
Washington DC,2022,6373756
Washington DC,2023,6304449
Washington DC,2024,6437907
